uf,produto,preco_mediano,preco_medio,preco_minimo,preco_maximo,amostras,periodo_inicio,periodo_fim,coletado_em
PA,gasolina,6.8,6.767,5.97,7.7,455,2026-07-01,2026-07-31,2026-08-10
PB,diesel,6.89,6.839,6.28,7.59,123,2026-07-01,2026-07-31,2026-08-10
PB,diesel_s10,7.09,7.117,6.28,7.69,206,2026-07-01,2026-07-31,2026-08-10
PB,etanol,4.79,4.828,4.49,5.39,228,2026-07-01,2026-07-31,2026-08-10
PB,gasolina,6.49,6.563,6.24,7.1,268,2026-07-01,2026-07-31,2026-08-10
PE,diesel,7.39,7.26,6.61,7.69,37,2026-07-01,2026-07-31,2026-08-10
PE,diesel_s10,6.85,6.892,6.39,7.99,668,2026-07-01,2026-07-31,2026-08-10
PE,etanol,5.09,5.135,4.59,6.59,679,2026-07-01,2026-07-31,2026-08-10
PE,gasolina,6.92,6.947,6.39,7.99,789,2026-07-01,2026-07-31,2026-08-10
PI,diesel,7.04,7.073,6.32,7.89,106,2026-07-01,2026-07-31,2026-08-10
PI,diesel_s10,7.29,7.319,6.89,8.09,177,2026-07-01,2026-07-31,2026-08-10
PI,etanol,4.99,4.928,4.45,5.4,197,2026-07-01,2026-07-31,2026-08-10
PI,gasolina,6.89,6.913,6.39,7.69,267,2026-07-01,2026-07-31,2026-08-10
PR,diesel,6.29,6.297,5.49,7.29,599,2026-07-01,2026-07-31,2026-08-10
PR,diesel_s10,6.89,6.892,5.89,7.99,847,2026-07-01,2026-07-31,2026-08-10
PR,etanol,3.99,4.212,3.19,4.99,1214,2026-07-01,2026-07-31,2026-08-10
PR,gasolina,6.69,6.656,5.79,7.39,1227,2026-07-01,2026-07-31,2026-08-10
RJ,diesel,6.89,7.018,5.89,8.29,475,2026-07-01,2026-07-31,2026-08-10
RJ,diesel_s10,6.99,7.168,5.89,8.59,837,2026-07-01,2026-07-31,2026-08-10
RJ,etanol,4.815,4.853,4.07,5.89,1102,2026-07-01,2026-07-31,2026-08-10
RJ,gasolina,6.69,6.718,5.94,7.99,1287,2026-07-01,2026-07-31,2026-08-10
RN,diesel,7.15,7.222,6.68,7.59,95,2026-07-01,2026-07-31,2026-08-10
RN,diesel_s10,7.33,7.332,6.89,7.99,152,2026-07-01,2026-07-31,2026-08-10
RN,etanol,5.49,5.481,4.69,6.29,165,2026-07-01,2026-07-31,2026-08-10
RN,gasolina,6.92,6.889,6.45,7.59,180,2026-07-01,2026-07-31,2026-08-10
RO,diesel,7.21,7.214,6.49,7.94,158,2026-07-01,2026-07-31,2026-08-10
RO,diesel_s10,7.29,7.326,6.49,7.99,218,2026-07-01,2026-07-31,2026-08-10
RO,etanol,5.49,5.488,4.89,5.99,138,2026-07-01,2026-07-31,2026-08-10
RO,gasolina,7.39,7.36,6.97,7.89,235,2026-07-01,2026-07-31,2026-08-10
RR,diesel,7.4,7.396,7.2,7.45,50,2026-07-01,2026-07-31,2026-08-10
RR,diesel_s10,7.45,7.426,7.2,7.45,43,2026-07-01,2026-07-31,2026-08-10
RR,etanol,5.41,5.419,5.41,5.45,30,2026-07-01,2026-07-31,2026-08-10
RR,gasolina,7.57,7.574,7.55,7.59,58,2026-07-01,2026-07-31,2026-08-10
RS,diesel,6.39,6.427,5.57,7.99,715,2026-07-01,2026-07-31,2026-08-10
RS,diesel_s10,6.59,6.661,5.84,7.99,838,2026-07-01,2026-07-31,2026-08-10
RS,etanol,4.79,4.755,3.79,5.93,609,2026-07-01,2026-07-31,2026-08-10
RS,gasolina,6.29,6.309,5.39,7.63,1265,2026-07-01,2026-07-31,2026-08-10
SC,diesel,6.59,6.599,5.98,7.72,278,2026-07-01,2026-07-31,2026-08-10
SC,diesel_s10,6.79,6.858,6.18,8.38,499,2026-07-01,2026-07-31,2026-08-10
SC,etanol,4.59,4.595,3.89,6.36,476,2026-07-01,2026-07-31,2026-08-10
SC,gasolina,6.49,6.507,5.79,7.09,707,2026-07-01,2026-07-31,2026-08-10
SE,diesel,6.78,6.765,6.65,6.99,58,2026-07-01,2026-07-31,2026-08-10
SE,diesel_s10,6.87,6.874,6.75,7.29,89,2026-07-01,2026-07-31,2026-08-10
SE,etanol,5.5,5.48,5.3,5.7,89,2026-07-01,2026-07-31,2026-08-10
SE,gasolina,7.12,7.106,6.99,7.19,150,2026-07-01,2026-07-31,2026-08-10
SP,diesel,6.55,6.576,5.49,8.69,1857,2026-07-01,2026-07-31,2026-08-10
SP,diesel_s10,6.89,6.957,5.95,9.99,3584,2026-07-01,2026-07-31,2026-08-10
SP,etanol,3.77,3.777,2.8,6.19,5132,2026-07-01,2026-07-31,2026-08-10
SP,gasolina,6.44,6.436,5.49,9.79,5182,2026-07-01,2026-07-31,2026-08-10
TO,diesel,6.79,6.795,6.19,7.99,85,2026-07-01,2026-07-31,2026-08-10
TO,diesel_s10,6.99,6.982,6.46,7.99,95,2026-07-01,2026-07-31,2026-08-10
TO,etanol,4.99,5.048,4.4,6.03,87,2026-07-01,2026-07-31,2026-08-10
TO,gasolina,6.99,7.065,6.75,7.39,114,2026-07-01,2026-07-31,2026-08-10
